mean,subj,item,sdiff,ambiguity
-2.8372,"01","33",2045.558659539,"unambig"
-1.4067,"01","33",2045.558659539,"unambig"
-3.0055,"01","33",2045.558659539,"unambig"
-4.0167,"01","33",2045.558659539,"unambig"
-1.5048,"01","56",-1042.441340461,"ambig"
-2.502,"01","56",-1042.441340461,"ambig"
-1.2454,"01","56",-1042.441340461,"ambig"
-3.0896,"01","56",-1042.441340461,"ambig"
-8.1918,"01","20",1957.558659539,"unambig"
-8.1806,"01","20",1957.558659539,"unambig"
-8.5901,"01","20",1957.558659539,"unambig"
-7.8089,"01","20",1957.558659539,"unambig"
2.8722,"01","2",-2042.441340461,"unambig"
1.6689,"01","2",-2042.441340461,"unambig"
-0.70684,"01","2",-2042.441340461,"unambig"
-0.17952,"01","2",-2042.441340461,"unambig"
-6.5411,"01","13",-1053.441340461,"ambig"
-9.5143,"01","13",-1053.441340461,"ambig"
-2.9382,"01","13",-1053.441340461,"ambig"
-3.5104,"01","13",-1053.441340461,"ambig"
-4.7557,"01","46",1946.558659539,"unambig"
-5.1288,"01","46",1946.558659539,"unambig"
-2.2103,"01","46",1946.558659539,"unambig"
-4.1751,"01","46",1946.558659539,"unambig"
-1.2201,"01","32",2045.558659539,"unambig"
-0.63251,"01","32",2045.558659539,"unambig"
-4.0742,"01","32",2045.558659539,"unambig"
-3.6618,"01","32",2045.558659539,"unambig"
-2.3575,"01","31",-943.441340460999,"ambig"
-3.8526,"01","31",-943.441340460999,"ambig"
-4.8722,"01","31",-943.441340460999,"ambig"
-4.5903,"01","31",-943.441340460999,"ambig"
1.4544,"01","48",-1954.441340461,"unambig"
-0.6816,"01","48",-1954.441340461,"unambig"
-2.2285,"01","48",-1954.441340461,"unambig"
-2.0378,"01","48",-1954.441340461,"unambig"
-1.6058,"01","6",-1053.441340461,"ambig"
-2.272,"01","6",-1053.441340461,"ambig"
-2.9213,"01","6",-1053.441340461,"ambig"
-0.043476,"01","6",-1053.441340461,"ambig"
5.6758,"01","57",-1042.441340461,"ambig"
6.8622,"01","57",-1042.441340461,"ambig"
6.4191,"01","57",-1042.441340461,"ambig"
5.5538,"01","57",-1042.441340461,"ambig"
4.4711,"01","1",-1053.441340461,"ambig"
5.098,"01","1",-1053.441340461,"ambig"
2.077,"01","1",-1053.441340461,"ambig"
1.0911,"01","1",-1053.441340461,"ambig"
-7.8762,"01","33",957.558659539001,"ambig"
-7.7093,"01","33",957.558659539001,"ambig"
-6.3644,"01","33",957.558659539001,"ambig"
-7.4471,"01","33",957.558659539001,"ambig"
-3.2144,"01","19",-1943.441340461,"unambig"
-5.2971,"01","19",-1943.441340461,"unambig"
-6.1372,"01","19",-1943.441340461,"unambig"
-4.6576,"01","19",-1943.441340461,"unambig"
2.4627,"01","42",957.558659539001,"ambig"
2.61,"01","42",957.558659539001,"ambig"
5.0419,"01","42",957.558659539001,"ambig"
1.0589,"01","42",957.558659539001,"ambig"
-0.47123,"01","44",957.558659539001,"ambig"
-6.9464,"01","44",957.558659539001,"ambig"
0.31415,"01","44",957.558659539001,"ambig"
-2.3141,"01","44",957.558659539001,"ambig"
-4.2929,"01","7",-2042.441340461,"unambig"
-5.952,"01","7",-2042.441340461,"unambig"
-3.0181,"01","7",-2042.441340461,"unambig"
-7.98,"01","7",-2042.441340461,"unambig"
5.7824,"01","28",-1943.441340461,"unambig"
6.0264,"01","28",-1943.441340461,"unambig"
3.2271,"01","28",-1943.441340461,"unambig"
3.7866,"01","28",-1943.441340461,"unambig"
4.2354,"01","23",-1943.441340461,"unambig"
2.4543,"01","23",-1943.441340461,"unambig"
-0.12622,"01","23",-1943.441340461,"unambig"
2.07,"01","23",-1943.441340461,"unambig"
0.40812,"01","53",-1954.441340461,"unambig"
0.32818,"01","53",-1954.441340461,"unambig"
-0.077135,"01","53",-1954.441340461,"unambig"
-4.3799,"01","53",-1954.441340461,"unambig"
-4.3631,"01","43",2045.558659539,"unambig"
-2.631,"01","43",2045.558659539,"unambig"
-5.2494,"01","43",2045.558659539,"unambig"
-6.6785,"01","43",2045.558659539,"unambig"
-2.0616,"01","56",1056.558659539,"ambig"
-2.5777,"01","56",1056.558659539,"ambig"
-3.1513,"01","56",1056.558659539,"ambig"
-3.3743,"01","56",1056.558659539,"ambig"
-3.7376,"01","21",-1943.441340461,"unambig"
-5.5271,"01","21",-1943.441340461,"unambig"
-5.2859,"01","21",-1943.441340461,"unambig"
-3.1513,"01","21",-1943.441340461,"unambig"
1.3562,"01","37",957.558659539001,"ambig"
1.3365,"01","37",957.558659539001,"ambig"
0.19073,"01","37",957.558659539001,"ambig"
2.8568,"01","37",957.558659539001,"ambig"
-0.064513,"01","45",957.558659539001,"ambig"
-1.2664,"01","45",957.558659539001,"ambig"
0.44458,"01","45",957.558659539001,"ambig"
-0.81203,"01","45",957.558659539001,"ambig"
4.2523,"01","47",1946.558659539,"unambig"
4.4374,"01","47",1946.558659539,"unambig"
5.1246,"01","47",1946.558659539,"unambig"
-5.1162,"01","47",1946.558659539,"unambig"
-6.4373,"01","49",-1042.441340461,"ambig"
-9.0725,"01","49",-1042.441340461,"ambig"
-7.269,"01","49",-1042.441340461,"ambig"
-7.4316,"01","49",-1042.441340461,"ambig"
1.9242,"01","36",2045.558659539,"unambig"
2.875,"01","36",2045.558659539,"unambig"
-2.5553,"01","36",2045.558659539,"unambig"
1.5722,"01","36",2045.558659539,"unambig"
2.6296,"01","58",1946.558659539,"unambig"
2.3253,"01","58",1946.558659539,"unambig"
2.8484,"01","58",1946.558659539,"unambig"
3.0952,"01","58",1946.558659539,"unambig"
-4.7011,"01","30",-954.441340460999,"ambig"
-6.2704,"01","30",-954.441340460999,"ambig"
-5.6323,"01","30",-954.441340460999,"ambig"
-5.6337,"01","30",-954.441340460999,"ambig"
-4.1106,"01","27",946.558659539001,"ambig"
-10.425,"01","27",946.558659539001,"ambig"
-0.40812,"01","27",946.558659539001,"ambig"
-6.1736,"01","27",946.558659539001,"ambig"
-3.1527,"01","12",-2042.441340461,"unambig"
-5.0334,"01","12",-2042.441340461,"unambig"
-4.5286,"01","12",-2042.441340461,"unambig"
-4.6492,"01","12",-2042.441340461,"unambig"
5.0741,"01","8",2056.558659539,"unambig"
9.2801,"01","8",2056.558659539,"unambig"
1.725,"01","8",2056.558659539,"unambig"
6.7472,"01","8",2056.558659539,"unambig"
-0.25244,"01","41",-943.441340460999,"ambig"
-0.79239,"01","41",-943.441340460999,"ambig"
-3.6618,"01","41",-943.441340460999,"ambig"
-2.9045,"01","41",-943.441340460999,"ambig"
-3.3771,"01","19",-944.441340460999,"ambig"
-2.9283,"01","19",-944.441340460999,"ambig"
-5.4836,"01","19",-944.441340460999,"ambig"
-3.1036,"01","19",-944.441340460999,"ambig"
-1.9452,"01","35",957.558659539001,"ambig"
1.3884,"01","35",957.558659539001,"ambig"
-0.50629,"01","35",957.558659539001,"ambig"
-2.2748,"01","35",957.558659539001,"ambig"
1.373,"01","18",1957.558659539,"unambig"
7.2605,"01","18",1957.558659539,"unambig"
0.1683,"01","18",1957.558659539,"unambig"
4.0798,"01","18",1957.558659539,"unambig"
-4.4065,"01","26",-954.441340460999,"ambig"
-5.6449,"01","26",-954.441340460999,"ambig"
-2.6941,"01","26",-954.441340460999,"ambig"
-5.1583,"01","26",-954.441340460999,"ambig"
-0.88636,"01","60",-1954.441340461,"unambig"
-1.4922,"01","60",-1954.441340461,"unambig"
0.1725,"01","60",-1954.441340461,"unambig"
-1.2412,"01","60",-1954.441340461,"unambig"
1.1402,"01","23",1957.558659539,"unambig"
-2.4136,"01","23",1957.558659539,"unambig"
1.5469,"01","23",1957.558659539,"unambig"
-1.3379,"01","23",1957.558659539,"unambig"
-4.6688,"01","11",1045.558659539,"ambig"
-2.8835,"01","11",1045.558659539,"ambig"
-7.4204,"01","11",1045.558659539,"ambig"
-2.2159,"01","11",1045.558659539,"ambig"
-0.44598,"01","38",-2053.441340461,"unambig"
0.084148,"01","38",-2053.441340461,"unambig"
1.5736,"01","38",-2053.441340461,"unambig"
-2.3716,"01","38",-2053.441340461,"unambig"
-4.9353,"01","34",957.558659539001,"ambig"
-8.1062,"01","34",957.558659539001,"ambig"
-4.2116,"01","34",957.558659539001,"ambig"
-5.8945,"01","34",957.558659539001,"ambig"
-3.0419,"01","46",-1042.441340461,"ambig"
-3.9073,"01","46",-1042.441340461,"ambig"
-1.798,"01","46",-1042.441340461,"ambig"
-2.401,"01","46",-1042.441340461,"ambig"
-4.8595,"01","31",-2053.441340461,"unambig"
-6.7739,"01","31",-2053.441340461,"unambig"
-4.2523,"01","31",-2053.441340461,"unambig"
-6.2957,"01","31",-2053.441340461,"unambig"
-1.1851,"01","55",1056.558659539,"ambig"
-3.7614,"01","55",1056.558659539,"ambig"
-0.10799,"01","55",1056.558659539,"ambig"
-3.5132,"01","55",1056.558659539,"ambig"
-6.52,"01","24",946.558659539001,"ambig"
-7.0011,"01","24",946.558659539001,"ambig"
